prob_Credential Access,prob_Defense Evasion,prob_Execution,prob_Initial Access,actual_tactic,predicted_tactic,correct
0.0,0.0014343793390960088,0.021686716168946275,0.9768789044919578,Initial Access,Initial Access,True
0.0,0.0055644147236954,0.8596575751175888,0.13477801015871563,Execution,Execution,True
0.0008602200873823866,0.02655410892777933,0.012969606478552768,0.9596160645062856,Initial Access,Initial Access,True
0.0,0.01669297452852359,0.17657595053495906,0.8067310749365173,Initial Access,Initial Access,True
0.0,0.00893014671835511,0.11066187591009286,0.8804079773715522,Initial Access,Initial Access,True
0.0038374684623136996,0.8857882519409227,0.0221842079426139,0.08819007165414952,Defense Evasion,Defense Evasion,True
0.0,0.012568880798392744,0.1566981719873654,0.830732947214242,Initial Access,Initial Access,True
0.0037043683003568162,0.1119664037472022,0.07922543976078254,0.8051037881916585,Initial Access,Initial Access,True
0.0,0.977442098280638,0.0025178154963081223,0.020040086223053713,Defense Evasion,Defense Evasion,True
0.0,0.017744603342368666,0.09639843193925962,0.8858569647183717,Initial Access,Initial Access,True
0.0,0.01579470819084845,0.17368875959307453,0.8105165322160771,Initial Access,Initial Access,True
0.0,0.002545197939794022,0.028711658148045056,0.9687431439121608,Initial Access,Initial Access,True
0.0008602200873823866,0.027217316416348378,0.017315082276252728,0.9546073812200165,Initial Access,Initial Access,True
0.0,0.014868627845173095,0.1961990667320154,0.7889323054228115,Initial Access,Initial Access,True
0.0,0.017744603342368666,0.09639843193925962,0.8858569647183717,Initial Access,Initial Access,True
0.0,0.998288365747531,0.00028603942943587535,0.0014255948230331142,Defense Evasion,Defense Evasion,True
0.0027111586507239187,0.012371517525410458,0.9305326568320286,0.05438466699183708,Execution,Execution,True
0.0,0.017744603342368666,0.09639843193925962,0.8858569647183717,Initial Access,Initial Access,True
0.0008602200873823866,0.02913732092762746,0.012538840148078642,0.9574636188369116,Initial Access,Initial Access,True
0.0,0.03385710047809283,0.8740464025113205,0.09209649701058648,Execution,Execution,True
0.0027111586507239187,0.19307160585397687,0.7514838923143786,0.05273334318092081,Defense Evasion,Execution,False
0.0008602200873823866,0.02913732092762746,0.012538840148078642,0.9574636188369116,Initial Access,Initial Access,True
0.0008602200873823866,0.02831699868126316,0.0170430121871106,0.9537797690442439,Initial Access,Initial Access,True
0.0,0.016546798701607298,0.018164781087158563,0.9652884202112343,Initial Access,Initial Access,True
0.0,0.002545197939794022,0.028711658148045056,0.9687431439121608,Initial Access,Initial Access,True
0.0,0.012568880798392744,0.15937110733939236,0.8280600118622149,Initial Access,Initial Access,True
0.008780497383742873,0.14899041586074027,0.02087253678849871,0.821356549967018,Initial Access,Initial Access,True
0.0,0.0019410261308207227,0.9621829434359569,0.03587603043322245,Execution,Execution,True
0.012247936291228691,0.10053619622678565,0.06776714266825047,0.8194487248137352,Initial Access,Initial Access,True
